from_id,to_id
Europe,Albania
Africa,Algeria
Africa,Angola
World,Argentina
World,Armenia
Australia,Australia
Austria,Austria
World,Azerbaijan
World,Bahrain
World,Bangladesh
Europe,Belarus
Belgium,Belgium
Africa,Benin
World,Bolivia
Europe,Bosnia and Herzegovina
Africa,Botswana
Brazil,Brazil
World,Brunei
Europe,Bulgaria
Africa,Burkina Faso
World,Cambodia
Africa,Cameroon
Canada,Canada
Africa,Chad
Chile,Chile
China,China
Colombia,Colombia
Africa,Congo
Costa Rica,Costa Rica
Europe,Croatia
World,Cuba
World,Cyprus
Europe,Czech Republic
Denmark,Denmark
World,Dominican Republic
World,Ecuador
World,Egypt
World,El Salvador
Africa,Equatorial Guinea
Africa,Eritrea
Europe,Estonia
Africa,Eswatini
Africa,Ethiopia
Finland,Finland
France,France
Africa,Gabon
World,Georgia
Germany,Germany
Africa,Ghana
Greece,Greece
World,Guatemala
World,Guyana
World,Haiti
World,Honduras
World,Hong Kong
Europe,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
World,Iran
World,Iraq
Europe,Ireland
Israel,Israel
Italy,Italy
Africa,Ivory Coast
World,Jamaica
Japan,Japan
World,Jordan
World,Kazakhstan
Africa,Kenya
World,Kuwait
World,Kyrgyzstan
World,Laos
Europe,Latvia
World,Lebanon
Africa,Libya
Europe,Lithuania
Europe,Luxembourg
Africa,Madagascar
Malaysia,Malaysia
Africa,Mali
Europe,Malta
Africa,Mauritania
World,Mauritius
Mexico,Mexico
Europe,Moldova
World,Mongolia
Europe,Montenegro
Africa,Morocco
Africa,Mozambique
World,Myanmar
Africa,Namibia
World,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
World,Nicaragua
Africa,Niger
Africa,Nigeria
Europe,North Macedonia
Norway,Norway
World,Oman
World,Pakistan
World,Palestine
World,Panama
World,Paraguay
World,Peru
World,Philippines
Poland,Poland
Portugal,Portugal
World,Qatar
Europe,Romania
Russia,Russia
Africa,Rwanda
World,Saudi Arabia
Africa,Senegal
Europe,Serbia
World,Singapore
Europe,Slovakia
Europe,Slovenia
South Africa,South Africa
South Korea,South Korea
Spain,Spain
World,Sri Lanka
Africa,Sudan
World,Suriname
Sweden,Sweden
Switzerland,Switzerland
World,Syria
World,Tajikistan
Africa,Tanzania
Thailand,Thailand
Africa,Togo
World,Trinidad and Tobago
Africa,Tunisia
Turkey,Turkey
World,Turkmenistan
Africa,Uganda
Europe,Ukraine
World,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
World,Uruguay
Uzbekistan,Uzbekistan
World,Venezuela
Vietnam,Vietnam
World,Yemen
Africa,Zambia
Africa,Zimbabwe
