id,name,time_zone
Albania,Albania,Europe/Tirane
Algeria,Algeria,Africa/Algiers
Angola,Angola,Africa/Lagos
Argentina,Argentina,America/Argentina/Buenos_Aires
Armenia,Armenia,Asia/Yerevan
Australia,Australia,Australia/Brisbane
Austria,Austria,Europe/Vienna
Azerbaijan,Azerbaijan,Asia/Baku
Bahrain,Bahrain,Asia/Qatar
Bangladesh,Bangladesh,Asia/Dhaka
Belarus,Belarus,Europe/Minsk
Belgium,Belgium,Europe/Brussels
Benin,Benin,Africa/Lagos
Bolivia,Bolivia,America/La_Paz
Bosnia And Herzegovina,Bosnia And Herzegovina,Europe/Belgrade
Botswana,Botswana,Africa/Maputo
Brazil,Brazil,America/Fortaleza
Brunei,Brunei,Asia/Kuching
Bulgaria,Bulgaria,Europe/Sofia
Burkina Faso,Burkina Faso,Africa/Abidjan
Cambodia,Cambodia,Asia/Bangkok
Cameroon,Cameroon,Africa/Lagos
Canada,Canada,America/Rankin_Inlet
Chad,Chad,Africa/Ndjamena
Chile,Chile,America/Santiago
China,China,Asia/Shanghai
Colombia,Colombia,America/Bogota
Congo,Congo,Africa/Lagos
Costa Rica,Costa Rica,America/Costa_Rica
Croatia,Croatia,Europe/Belgrade
Cuba,Cuba,America/Havana
Cyprus,Cyprus,Asia/Famagusta
Czech Republic,Czech Republic,Europe/Prague
Denmark,Denmark,Europe/Berlin
Dominican Republic,Dominican Republic,America/Santo_Domingo
Ecuador,Ecuador,America/Guayaquil
Egypt,Egypt,Africa/Cairo
El Salvador,El Salvador,America/El_Salvador
Equatorial Guinea,Equatorial Guinea,Africa/Lagos
Eritrea,Eritrea,Africa/Nairobi
Estonia,Estonia,Europe/Tallinn
Eswatini,Eswatini,Africa/Johannesburg
Ethiopia,Ethiopia,Africa/Nairobi
Finland,Finland,Europe/Helsinki
France,France,Europe/Paris
Gabon,Gabon,Africa/Lagos
Georgia,Georgia,Asia/Tbilisi
Germany,Germany,Europe/Berlin
Ghana,Ghana,Africa/Abidjan
Greece,Greece,Europe/Athens
Guatemala,Guatemala,America/Guatemala
Guyana,Guyana,America/Guyana
Haiti,Haiti,America/Port-au-Prince
Honduras,Honduras,America/Tegucigalpa
Hong Kong,Hong Kong,Asia/Hong_Kong
Hungary,Hungary,Europe/Budapest
Iceland,Iceland,Africa/Abidjan
India,India,Asia/Kolkata
Indonesia,Indonesia,Asia/Makassar
Iran,Iran,Asia/Tehran
Iraq,Iraq,Asia/Baghdad
Ireland,Ireland,Europe/Dublin
