from_id,to_id
Europe,Albania
Africa,Algeria
Africa,Angola
Central and South America,Argentina
Middle East and Caspian,Armenia
Australia,Australia
Austria,Austria
Middle East and Caspian,Azerbaijan
Middle East and Caspian,Bahrain
Asia Pacific,Bangladesh
Europe,Belarus
Belgium,Belgium
Africa,Benin
Central and South America,Bolivia
Europe,Bosnia and Herzegovina
Africa,Botswana
Brazil,Brazil
Asia Pacific,Brunei
EU27,Bulgaria
Africa,Burkina Faso
Asia Pacific,Cambodia
Africa,Cameroon
Canada,Canada
Africa,Chad
Chile,Chile
China,China
Colombia,Colombia
Africa,Congo
Costa Rica,Costa Rica
EU27,Croatia
Central and South America,Cuba
Middle East and Caspian,Cyprus
EU27,Czech Republic
Denmark,Denmark
Central and South America,Dominican Republic
Central and South America,Ecuador
Middle East and Caspian,Egypt
Central and South America,El Salvador
Africa,Equatorial Guinea
Africa,Eritrea
EU27,Estonia
Africa,Eswatini
Africa,Ethiopia
Finland,Finland
France,France
Africa,Gabon
Middle East and Caspian,Georgia
Germany,Germany
Africa,Ghana
Greece,Greece
Central and South America,Guatemala
Central and South America,Guyana
Central and South America,Haiti
Central and South America,Honduras
Asia Pacific,Hong Kong
EU27,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Middle East and Caspian,Iran
Middle East and Caspian,Iraq
EU27,Ireland
Israel,Israel
Italy,Italy
Africa,Ivory Coast
Central and South America,Jamaica
Japan,Japan
Middle East and Caspian,Jordan
Middle East and Caspian,Kazakhstan
Africa,Kenya
Middle East and Caspian,Kuwait
Middle East and Caspian,Kyrgyzstan
Asia Pacific,Laos
EU27,Latvia
Middle East and Caspian,Lebanon
Africa,Libya
EU27,Lithuania
EU27,Luxembourg
Africa,Madagascar
Malaysia,Malaysia
Africa,Mali
EU27,Malta
Africa,Mauritania
Asia Pacific,Mauritius
Mexico,Mexico
Europe,Moldova
Asia Pacific,Mongolia
Europe,Montenegro
Africa,Morocco
Africa,Mozambique
Asia Pacific,Myanmar
Africa,Namibia
Asia Pacific,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Central and South America,Nicaragua
Africa,Niger
Africa,Nigeria
Europe,North Macedonia
Norway,Norway
Middle East and Caspian,Oman
Asia Pacific,Pakistan
Middle East and Caspian,Palestine
Central and South America,Panama
Central and South America,Paraguay
Central and South America,Peru
Asia Pacific,Philippines
Poland,Poland
Portugal,Portugal
Middle East and Caspian,Qatar
EU27,Romania
Russia,Russia
Africa,Rwanda
Middle East and Caspian,Saudi Arabia
Africa,Senegal
Europe,Serbia
Asia Pacific,Singapore
EU27,Slovakia
EU27,Slovenia
South Africa,South Africa
South Korea,South Korea
Spain,Spain
Asia Pacific,Sri Lanka
Africa,Sudan
Central and South America,Suriname
Sweden,Sweden
Switzerland,Switzerland
Middle East and Caspian,Syria
Middle East and Caspian,Tajikistan
Africa,Tanzania
Thailand,Thailand
Africa,Togo
Central and South America,Trinidad and Tobago
Africa,Tunisia
Turkey,Turkey
Middle East and Caspian,Turkmenistan
Africa,Uganda
Europe,Ukraine
Middle East and Caspian,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Central and South America,Uruguay
Uzbekistan,Uzbekistan
Central and South America,Venezuela
Vietnam,Vietnam
Middle East and Caspian,Yemen
Africa,Zambia
Africa,Zimbabwe
